submitter_id	Immune_composite	Stroma_composite	Immune_Stroma_ratio	Immune_Exclusion_index
TCGA-A7-A26I	0.0374671782978992	0.0682728921885148	0.354329477898686	0.645661065037986
TCGA-AR-A256	0.0441889040475772	0.0415325299586844	0.515488209823223	0.484500124619078
TCGA-E2-A1LH	0.087720543406903	0.0407740392416381	0.682673611020814	0.31731860661049
TCGA-E9-A1N8	0.0257244848612999	0.0519072310381798	0.331361392722733	0.668625726109986
TCGA-A2-A04U	0.0420594462661193	0.0707303212645133	0.372897952438319	0.627093181587791
TCGA-A7-A26I.1	0.032955569403025	0.097400992650737	0.252809034503372	0.74718329428842
TCGA-A8-A07C	0.0605695173617823	0.0584708199840098	0.508810793899598	0.491180805657142
TCGA-E2-A1AZ	0.0569454837052503	0.0920257800035744	0.382255611128752	0.617737676212294
TCGA-E2-A158	0.0243961982633516	0.0424447873438754	0.364983147070273	0.635001892273024
TCGA-E9-A5FL	0.0303656363535464	0.0859701469170769	0.261014921505176	0.738976482761197
TCGA-A7-A6VY	0.0605277620779903	0.0242206388657788	0.714196931234361	0.285791269272205
TCGA-A7-A13D	0.0130758783141127	0.0599814636568128	0.178978580150593	0.821007732158543
TCGA-EW-A1OW	0.0343037231572373	0.0945005104369504	0.266322432715073	0.733669803625237
TCGA-EW-A1PB	0.0940776697445717	0.0191490835201468	0.830871116241482	0.169120052001541
TCGA-AN-A0AR	0.0370451989474526	0.0465679050324039	0.443049643351763	0.556938396943446
TCGA-AO-A129	0.0621642053604914	0.0404990947383258	0.605509464347944	0.394480795167788
TCGA-D8-A27M	0.066434573538663	0.0678121377799696	0.494865594996869	0.505126956086571
TCGA-AO-A0J4	0.0589691956228848	0.0687834334956674	0.461585287476748	0.538406884956967
TCGA-B6-A1KF	0.0209472135161021	0.0879602448329966	0.192337802165533	0.807653015811187
TCGA-A2-A0CM	0.080378995274321	0.0567936836972812	0.585965149268623	0.41402756070309
TCGA-AR-A1AR	0.0830449502655115	0.101155845811359	0.450836810683731	0.549157760487553
TCGA-AO-A0J6	0.0650730368357561	0.04967621703561	0.567084033719894	0.432907251702437
TCGA-A2-A3XS	0.0367448301734395	0.0456464192109615	0.445974353752699	0.554013509183348
TCGA-A2-A04T	0.0641731256984555	0.055205960693621	0.537553017742788	0.462438605650776
TCGA-LL-A73Y	0.0470359568006146	0.0824740038020494	0.363181282740382	0.636810995905415
TCGA-E2-A1LG	0.019284251673566	0.0395371523043634	0.32783855078078	0.672144448893963
TCGA-C8-A27B	0.0633183889092159	0.0175328406349221	0.783137203095306	0.216850428661967
TCGA-E9-A3QA	0.110701370410875	0.0213925090585201	0.838044372768615	0.16194805691523
TCGA-OL-A5D7	0.100558534183582	1.52909895979495e-19	0.999990055642082	1.52059073484113e-18
TCGA-A7-A13D.1	0.0182678533234076	0.0604931737247062	0.231937318122199	0.768049985404164
TCGA-A7-A13D.2	0.0107077818556329	0.0631536341341586	0.144969287995031	0.855017173319744
TCGA-D8-A1JL	0.0579161476627177	0.0713314824298135	0.448098735137499	0.55189352783659
TCGA-AR-A0TP	0.0158426169177385	0.0521149296602181	0.233121773720765	0.766863511426573
TCGA-E9-A1ND	0.0754264460746927	0.054559745431387	0.580260602608411	0.419731704325923
TCGA-A2-A4RX	0.0261074532111607	0.0797090731848281	0.246721446818382	0.753269102951263
TCGA-A2-A25F	0.162901322717375	0.139298610116097	0.539049701766281	0.460946989177091
TCGA-E2-A14X	0.0415090060110355	0.061166274436979	0.404270643910321	0.595719616741939
TCGA-E2-A573	0.0732314132814106	0.0276160260532552	0.72615316374299	0.27383692038715
TCGA-D8-A147	0.0411407794656294	0.0520641059170211	0.441396799104785	0.558592471958991
TCGA-A2-A0YE	0.0267046387589314	0.0779834563240998	0.255085200017742	0.744905247888994
TCGA-OL-A6VO	0.0469916348616643	0.0306816475041037	0.604983186589106	0.395003939136816
TCGA-A8-A08R	0.062665161749257	0.0696884899829864	0.473463991851454	0.526528452690638
TCGA-AR-A1AI	0.0821551040753374	0.0309810633155972	0.726154861129397	0.273836300042276
TCGA-BH-A1FC	0.0791017807498676	0.0384391695142068	0.672966379851231	0.327025112547885
TCGA-AQ-A04J	0.0645653291416964	0.0708034030182762	0.476955432440367	0.523037180383903
TCGA-AR-A1AY	0.0256056294015726	0.0452396145920844	0.361425362279828	0.638560522645841
TCGA-A7-A6VW	0.0529937789715636	0.0162097404443061	0.765756043374983	0.234229506701682
TCGA-S3-AA15	0.0874262354939306	0.11198434038898	0.438421065110407	0.561573920135582
TCGA-B6-A0I2	0.0905653030388253	0.0156624353914421	0.85254992553899	0.147440660812549
TCGA-D8-A1XQ	0.0566660451462532	0.0664322239773625	0.460328038904516	0.539663837570405
TCGA-AR-A1AQ	0.0853893971169878	0.0426641903311791	0.66682028983578	0.333171900994554
TCGA-AC-A6IW	0.113127269064107	0.0176492503699078	0.865036051713663	0.134956301712183
TCGA-E2-A150	0.0478870681755815	0.0717382630081205	0.4003054152187	0.599686225417688
TCGA-AN-A04D	0.0260259373991377	0.0363862035417041	0.416994514405329	0.582989463327806
TCGA-A7-A4SD	0.0540439166802618	0.0439277966182299	0.551622128863648	0.448367664212747
TCGA-E9-A1N9	0.0220417820362782	0.0775960439820922	0.221216797879718	0.778773165871964
TCGA-AO-A1KR	0.0483800563462697	0.0182296451552739	0.726310566555864	0.273674420841394
TCGA-A2-A4S1	0.0599374590299066	0.0889985084552728	0.402435070633964	0.597558215116264
TCGA-A2-A0D0	0.0629755855875798	0.0252852188110222	0.713508929674423	0.286479740396319
TCGA-GI-A2C9	0.0395349502802079	0.0667750073218166	0.37188029505112	0.628110298580783
TCGA-D8-A1JK	0.0540846494511361	0.0695825955601231	0.437336597169403	0.56265531668043
TCGA-AC-A2QJ	0.0818308577634242	0.0677500472040755	0.547063883035879	0.452929431663515
TCGA-A2-A0T0	0.042527054275805	0.0528199397622335	0.446019391439311	0.553970120663066
TCGA-AC-A8OQ	0.0522319041967503	0.0997196516965137	0.343738240463948	0.656255178534541
TCGA-AR-A24Q	0.0408485986165824	0.0887551312876469	0.315178301337978	0.684813982894235
